,,Irvine Auditorium Main Hall (A),Houston: Bodek Lounge,Houston: Hall of Flags (K),Houston: Ben Franklin Room (B),Irvine: Cafe 58 (C),Irvine: Amado Recital Hall (D),Houston: Golkin (E),Irvine: G7 (F),Irvine: G16 (G),Irvine: Green Room (H),Williams Hall G01 (I),Williams Hall 723 (J),Penn Museum
"Wednesday, July 17, 2024",9:00 AM - 12:30 PM,,,"Tutorial: New Approaches and Data Sources to Study Digital Media and Democracy; Sebastian Stier, Philipp Lorenz-Spreen, Lisa Oswald, David Lazer (tutorial website)","Tutorial: Making Models We Can Understand: An Interactive Introduction to Interpretable Machine Learning; Chudi Zhong, Alina Jade Barnett, Harsh Parikh (tutorial website)","Tutorial: Collecting Digital Trace Data Through Data Donation; Laura Boeschoten, Niek de Schipper (tutorial website)","Tutorial: Exploring Emerging Social Media: Acquiring, Processing, and Visualizing Data with Python and OSoMe Web Tools; Filipi Nascimento Silva, Kaicheng Yang, Bao Tran Truong, Wanying Zhao (tutorial website)",,,,,,,
,12:30 PM - 1:30 PM,,Lunch,,,,,,,,,,,
,1:00 PM - 1:45 PM,"Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)","Dirk Helbing: Societies are complex systems. So, how to manage them? (virtual keynote)"
,1:30 PM - 5:00 PM,,,"Tutorial: Training Computational Social Science Ph.D. Students for Academic and Non-Academic Careers; Jae Yeon Kim, Tiago Ventura, Aniket Kesari, Sono Shah, Tina Law (tutorial website)","Tutorial: Using LLMs for Computational Social Science; Diyi Yang, Caleb Ziems, Niklas Stoehr (tutorial website)",,"Tutorial: Thinking With Deep Learning: An Exposition Of Deep (Representation) Learning for Social Science Research; James Evans, Bhargav Srinivasa Desikan",Tutorial: Active Agents: An Active Inference Approach to Agent-Based Modeling in the Social Sciences; Andrew Pashea,,,,,,
,5:00 PM - 6:30 PM,,Welcome mixer,,,,,,,,,,,
,,,,,,,,,,,,,,
"Thursday, July 18, 2024",8:15 AM - 9:00 AM,Breakfast (Main Hall Box Office),,,,,,,,,,,,
,9:00 AM - 9:30 AM,Lightning talks,,,,,,,,,,,,
,9:30 AM - 10:30 AM,"Meta panel: Talia Stroud, University of Texas; Chad P. Kiewiet De Jonge, Meta; Kevin Munger, European Union Institute (keynote)",,,,,,,,,,,,
,11:00 AM - 12:30 PM,02. Algorithmics & Public Opinion: 1A,,,10. Politics and Media: 1B,08. Networks and Social Systems: 1C,03. AI and HCI: 1D,07. Misinformation and Fact-Checking: 1E,08. Networks and Social Systems: 1F,04. Methods & Innovations: 1G,12. Culture and Online Communities: 1H,14. AI in Education: 1I,,
,12:30 PM - 1:30 PM,,Mentorship lunch,,,,,,,,,,,
,1:30 PM - 2:30 PM,,,Poster session 1,,,,,,,,,,
,2:30 PM - 4:00 PM,Publishing with Nature Portfolio journals – and recent developments in academic publishing,,,07. Misinformation and Fact-Checking: 2B,04. Methods & Innovations: 2C,10. Politics and Media: 2D,12. Culture and Online Communities: 2E,05. Social Impact and Policy: 2F,15. AI-driven Behavioral Economics: 2G,20. Policy and Urban Planning: 2H,17. AI and the Future of Work: 2I,,
,4:30 PM - 5:15 PM,Talal Rahwan: A Global Perspective of Scientists and Editors (keynote),,,,,,,,,,,,
,5:15 PM - 6:00 PM,Amy Orben: Screen Savers: Protecting Adolescent Mental Health in a Digital World (keynote),,,,,,,,,,,,
,,,,,,,,,,,,,,
"Friday, July 19, 2024",8:15 AM - 9:00 AM,Breakfast (Main Hall Box Office),Breakfast,,,,,,,,,,,
,9:00 AM - 9:45 AM,Lightning talks,,,,,,,,,,,,
,9:45 AM - 10:30 AM,Dan Jurafsky: Using NLP to Study Social Questions: Police-Community Relations and the Politics of Immigration (keynote),,,,,,,,,,,,
,11:00 AM - 12:30 PM,Models for data access in the post API world,,,10. Politics and Media: 3B,02. Algorithmics & Public Opinion: 3C,12. Culture and Online Communities: 3D,04. Methods & Innovations: 3E,06. Data and Privacy: 3F,05. Social Impact and Policy: 3G,13. Platform governance: 3H,04. Methods & Innovations: 3I,18. Social Media Dynamics and Content Analysis: 3J,
,12:30 PM - 1:30 PM,,Mentorship lunch,,,,,,,,,,,
,1:30 PM - 2:30 PM,,,Poster session 2,,,,,,,,,,
,2:30 PM - 4:00 PM,The Meta Content Library: A Researcher's Guide,,,08. Networks and Social Systems: 4B,04. Methods & Innovations: 4C,16. Computational Epidemiology and Public Health: 4D,12. Culture and Online Communities: 4E,"09. Crises, Emergencies, and Disasters: 4F",10. Politics and Media: 4G,05. Social Impact and Policy: 4H,17. AI and the Future of Work: 4I,19. AI for Civic Engagement: 4J,
,4:10 PM - 4:55 PM,Elizabeth Bruch: Date Like a Local: Pursuing Romantic Partners in U.S. Cities (keynote),,,,,,,,,,,,
