id,publication_year,cited_by_count,author_ids
https://openalex.org/W3103362336,2009,7042,"['https://openalex.org/A5014647140', 'https://openalex.org/A5082953212', 'https://openalex.org/A5067142016']"
https://openalex.org/W2047940964,2004,6950,"['https://openalex.org/A5014647140', 'https://openalex.org/A5067142016', 'https://openalex.org/A5008033989']"
https://openalex.org/W2018045523,2002,4173,"['https://openalex.org/A5007285525', 'https://openalex.org/A5067021466', 'https://openalex.org/A5029755266', 'https://openalex.org/A5088333030', 'https://openalex.org/A5038976962']"
https://openalex.org/W2119298903,2012,3868,"['https://openalex.org/A5054913386', 'https://openalex.org/A5065660380', 'https://openalex.org/A5065503150']"
https://openalex.org/W1987228002,2010,3047,"['https://openalex.org/A5100744117', 'https://openalex.org/A5080830598', 'https://openalex.org/A5022334515', 'https://openalex.org/A5038976962']"
https://openalex.org/W2142887429,2002,2453,['https://openalex.org/A5038976962']
https://openalex.org/W1972309850,2005,2190,['https://openalex.org/A5038976962']
https://openalex.org/W2157082398,2008,2110,"['https://openalex.org/A5014647140', 'https://openalex.org/A5008033989', 'https://openalex.org/A5067142016']"
https://openalex.org/W2018049970,2003,2084,"['https://openalex.org/A5007285525', 'https://openalex.org/A5038976962']"
https://openalex.org/W2141113219,2007,1865,"['https://openalex.org/A5041695925', 'https://openalex.org/A5082358191', 'https://openalex.org/A5063599487', 'https://openalex.org/A5054049660', 'https://openalex.org/A5108542568', 'https://openalex.org/A5065692438', 'https://openalex.org/A5044033087', 'https://openalex.org/A5038976962']"
https://openalex.org/W2092124750,2007,1640,"['https://openalex.org/A5035349918', 'https://openalex.org/A5038976962', 'https://openalex.org/A5066728847']"
https://openalex.org/W2056782561,2015,1382,"['https://openalex.org/A5025090907', 'https://openalex.org/A5048563533', 'https://openalex.org/A5087315606', 'https://openalex.org/A5012751505', 'https://openalex.org/A5040546953', 'https://openalex.org/A5028396638', 'https://openalex.org/A5038976962']"
https://openalex.org/W1533903614,2003,1296,['https://openalex.org/A5038976962']
https://openalex.org/W2133400794,2010,1181,"['https://openalex.org/A5100744117', 'https://openalex.org/A5004780022', 'https://openalex.org/A5100383517', 'https://openalex.org/A5038976962']"
https://openalex.org/W2277170616,2016,959,"['https://openalex.org/A5031928873', 'https://openalex.org/A5033843421', 'https://openalex.org/A5038976962']"
https://openalex.org/W2061099285,2010,927,"['https://openalex.org/A5069948947', 'https://openalex.org/A5078253058', 'https://openalex.org/A5014647140']"
https://openalex.org/W1807286188,2013,813,"['https://openalex.org/A5054913386', 'https://openalex.org/A5056226085', 'https://openalex.org/A5024523395']"
https://openalex.org/W2095072199,2005,795,['https://openalex.org/A5014647140']
https://openalex.org/W3006753318,2020,737,"['https://openalex.org/A5046420137', 'https://openalex.org/A5047198701', 'https://openalex.org/A5056242621', 'https://openalex.org/A5038976962']"
